,name,address,lat,lng
0,莲创意楚菜(中山公园店),上海市长宁区长宁路641号(近愚园路),31.226426,121.430189
1,今朝桃花醉小酒馆(愚园店),愚园路1391号,31.224975,121.429202
2,付小姐在成都(中山公园店),上海市长宁区愚园路1357号,31.225059,121.429905
3,浮生酒馆,愚园路1398号米域这里地下一层B1-05(近定西路),31.225528,121.428757
4,锋味砂锅米线(长宁路店),上海市长宁路684号底层690弄3号201、202室,31.226481,121.429544
5,嗨锅(中山公园店),上海市长宁区定西路1550号2楼(近愚园路),31.224018,121.428451
6,长宁拉面,上海市长宁区长宁路458号,31.22875,121.432229
7,福一零三九,上海市长宁区愚园路1039号,31.224839,121.436144
8,棒杰克意式手工披萨(长宁路店),上海市长宁区长宁路684号2楼,31.226469,121.429482
9,苏州面馆(愚园路店),上海市长宁区愚园路1301号,31.225076,121.431093
10,裕兴记面馆(中山公园店),上海市长宁区愚园路1393号,31.224974,121.42918
11,粤1525(华美达广场店),上海市长宁区定西路1525号贝尔特酒店2层,31.224186,121.427943
12,富春小笼(愚园路店),上海市静安区愚园路650号,31.227473,121.442995
13,上海1号私藏菜(静安寺店),上海市静安区南京西路1856号聚安大厦3楼,31.228235,121.44988
14,福和慧,上海长宁区愚园路1037(近江苏路),31.224826,121.436156
15,哥老官重庆美蛙鱼头(龙之梦购物中心店),上海市长宁区长宁路1018号龙之梦购物中心F6,31.225848,121.423127
16,很久以前羊肉串(中山公园店),上海市长宁区定西路1313号3层,31.223323,121.42826
17,麦当劳(华宁国际广场餐厅),上海市长宁区宣化路300号华宁国际广场1-2层,31.223437,121.42889
18,小龙坎老火锅(玫瑰坊店),上海市长宁区长宁路890号玫瑰坊1层F27室、2层F58室,31.225441,121.424472
19,张记油条(愚园路店),愚园路1391-1号,31.224975,121.429211
20,南门涮肉(中山公园店),定西路1313号鑫茂商厦2楼,31.223493,121.428205
21,大娘水饺(定西路店),定西路1550号,31.224027,121.428382
22,贝尔特酒店酒廊(华美达广场店),上海市长宁区定西路1525号贝尔特酒店一楼,31.224227,121.428029
23,必胜客(玫瑰坊餐厅),上海市长宁区长宁路890号玫瑰坊1层,31.225348,121.425829
24,敦煌楼兰州清真牛肉拉面(长宁路店),长宁路436号(近江苏路),31.228953,121.432468
25,西贝莜面村(上海中山店),上海市长宁区长宁路1018号龙之梦购物中心F6,31.224948,121.423514
26,肯德基(江苏餐厅),上海市长宁区江苏路398号舜元弘基天地1-2层,31.225122,121.437398
27,永和大王(公园店),上海市长宁区定西路1297号,31.222805,121.428533
28,海底捞火锅(长宁路店),上海市长宁区长宁路1018号龙之梦购物中心8-9层,31.225385,121.423901
29,粉猪亲食,上海市长宁区安西路219号附近,31.225137,121.431905
30,银Gin(愚园路店),长宁区愚园路1391号盛春商厦2楼,31.224993,121.429149
31,和平官邸·婚宴(武定西路店),上海市长宁区武定西路1317弄10号,31.230882,121.438829
32,鸟安(中山公园店),汇川路172号玫瑰坊1层,31.225659,121.424427
33,胖哥俩肉蟹煲(中山龙之梦店),上海市长宁区长宁路1018号龙之梦购物中心F8,31.225145,121.422963
34,麦当劳(长宁路二号餐厅),上海市长宁区长宁路1018号龙之梦购物中心B2层,31.224785,121.423736
35,点都德(龙之梦店),上海市长宁区长宁路1018号龙之梦购物中心F7,31.224978,121.423675
36,农村乡味地锅鸡(武夷路店),武夷路350号武夷路与定西路交叉口东行20米,31.2192,121.429858
37,哥老官重庆美蛙鱼头(定西路店),定西路798号2楼,31.215686,121.43036
38,熊猫老灶火锅(延安西路店),延安西路1394号(定西路口),31.215799,121.43048
39,末那寿司(玫瑰坊店),上海市长宁区长宁路890号玫瑰坊F2,31.225495,121.425209
40,还行转转锅(兆丰广场店),上海市长宁区长宁路1027号999兆丰广场B1,31.224013,121.425145
41,嗲记汤包(定西路店),上海市长宁区定西路1115号梦上海1楼,31.219079,121.429254
42,大头李大锅羊肉汤馆(宣化路店),上海市长宁区宣化路62-3号临附近,31.224055,121.435821
43,晓燕生煎(定西路店),上海市长宁区定西路1226号,31.220551,121.429471
44,阿久Q,上海市长宁区武夷路351号409室,31.219528,121.430012
45,香港永祥烧腊餐厅(定西路店),长宁区定西路1271号,31.221399,121.428973
46,洛克菲勒公馆·婚宴,上海市长宁区愚园路753号骆公馆,31.226443,121.440847
47,虎丸烧肉(玫瑰坊店),上海市长宁区长宁路890号玫瑰坊F2,31.225746,121.424469
48,弗兰科牛排馆(愚园路店),上海市长宁区愚园路1107号,31.224867,121.435041
49,姚稷大铁锅(静安店),上海市静安区万航渡路529-6号附近,31.232332,121.441144
50,老刘本帮烧烤,上海市长宁区汇川路160号-1层-76-78,31.225257,121.425671
51,亲父的右腕,长宁区汇川路174号玫瑰坊后巷1楼33号,31.225676,121.424658
52,汉堡王(中山公园龙之梦餐厅),上海市长宁区长宁路1018号龙之梦购物中心B1层14B号商铺,31.225454,121.423247
53,井格老灶火锅(龙之梦购物公园店),上海市长宁区长宁路1018号龙之梦购物中心F7,31.225821,121.422883
54,鑫花溪(龙之梦购物中心店),上海市长宁区长宁路1018号龙之梦购物中心F7,31.225578,121.423963
55,千鸟足,上海市长宁区长宁路890号玫瑰坊1楼36-38商铺(近汇川路),31.225651,121.424638
56,麦当劳(中山枢纽餐厅),上海市长宁区长宁路1057号中山公园2号线地铁站8号口B1层,31.22396,121.423031
57,广屋(武夷店),武夷路350号近定西路路口,31.219209,121.429822
58,成都你六姐·冒菜(中山龙之梦店),长宁路1018号(龙之梦购物中心B2美食汇内),31.224996,121.423215
59,Jeju Izakaya by BELLOCO倍乐,愚园路1095号,31.224882,121.434959
60,雍福会(永福路店),上海市徐汇区永福路200号原英国领事馆,31.215726,121.449225
61,柳州螺蛳粉(杨宅路店),上海市长宁区杨宅路83号,31.212257,121.425675
62,谭鸭血老火锅(愚园路店),愚园路246弄10号百富商务酒店1楼(近万航渡路),31.229844,121.450136
63,蟹蚝面道,昭化路240号,31.217713,121.430299
64,刘园云南过桥米线(宣化路店),上海长宁区宣化路61号,31.223746,121.435204
65,小大志肉居酒屋(中山公园店),汇川路95号(中山公园站8号口),31.222973,121.423646
66,玫瑰厅上海菜(兴国路店),上海市长宁区兴国路372弄1号,31.211495,121.443727
67,沃歌斯(龙之梦长宁店),长宁路龙之梦购物中心1楼,31.225293,121.423164
68,丁香夏朵花园(徐汇店),上海市徐汇区复兴西路268号,31.217729,121.444165
69,いば昇(中山公园店),中山公园玫瑰坊2楼(长宁路890号),31.22555,121.424371
70,鱼你说酸菜鱼米饭(龙之梦店),长宁路1018号B2美食汇(B2007D)鱼你说酸菜鱼米饭,31.225342,121.423283
71,万岛(静安店),上海市静安区乌鲁木齐北路480号万泰国际5楼,31.224461,121.449859
72,RAC BAR,上海市徐汇区安福路322号14幢一楼(武康路与安福路交口),31.219615,121.446383
73,北海道料理(兆丰广场店),上海市长宁区长宁路1027号999兆丰广场B1,31.224011,121.42551
74,LOKAL(武康路店),徐汇区武康路202号,31.215794,121.446948
75,袁记饺子(宣化路店),宣化路88号(鲜丰水果隔壁),31.223941,121.435032
76,绝味鸭脖(定西路店),上海市长宁区定西路1242号,31.22093,121.429368
77,大鼓米线(龙之梦购物广场店),上海市长宁区长宁路1018号龙之梦购物中心B2层,31.225415,121.423408
78,夏舍茶事燕语(中山公园店),上海市长宁区愚园路1361号,31.225021,121.429894
79,老天母卤味专家(龙之梦大厦店),上海市长宁区长宁路1018号龙之梦购物中心B2,31.224772,121.423348
80,你是我的酸辣粉(龙之梦店),长宁路1018号龙之梦购物中心B2层,31.225239,121.423153
81,上海1898cafe咖啡,上海市长宁区愚园路1265号,31.225091,121.431654
82,上海巴黎春天新世界酒店大堂吧,长宁区定西路1555号巴黎春天新世界酒店1楼(近愚园路),31.224706,121.427664
83,鲍师傅糕点(江苏路店),上海市长宁区江苏路458号舜元企业发展大厦B幢503商铺,31.225076,121.437327
84,星巴克(中山公园店),上海市长宁路999号1F,31.224191,121.424251
85,MR PANCAKE House(玫瑰坊店),上海市长宁区长宁路890号玫瑰坊M,31.225767,121.424491
86,咖乃芗(舜元天地店),上海市长宁区江苏路458号舜元·弘基天地F2,31.224849,121.437343
87,丸是切茶私友茶室,长宁区安西路340号南门1楼(近宣化路),31.223951,121.43172
88,COSTA COFFEE(长宁新世界店),上海市长宁区宣化路300号华宁·弘基生活中心F1,31.223468,121.428734
89,三月咖啡馆,上海市长宁区万航渡路1384,31.231776,121.42832
90,1点点(宣化店),宣化路70号,31.224007,121.435406
91,我慢生活馆,愚园路1077号,31.224942,121.435266
92,LE LE CHA(龙之梦购物中心店),上海市长宁区长宁路1018号龙之梦购物中心F1,31.225626,121.42379
93,1点点(定西店),上海市长宁区定西路1242号,31.221026,121.429379
94,甘柚,上海市长宁区万航渡路1384弄12号湖丝栈创意产业园1号楼附楼2楼,31.231723,121.428318
95,喜茶(长宁龙之梦店),上海市长宁区长宁路1018号龙之梦购物中心黄中庭1层,31.225577,121.422505
96,洋洋咖啡uu,上海市长宁区愚园路1000-2号,31.2254,121.436784
97,夏朵星期天,复兴西路246号,31.217392,121.444686
98,鲜芋仙(龙之梦购物中心店),上海市长宁区长宁路1018号龙之梦购物中心2层,31.225743,121.423405
99,麦禾田食品,定西路1566-1号,31.224913,121.428348
100,Gregorius,上海市长宁区愚园路991号,31.225091,121.436806
101,上海育音堂文化传播有限公司(凯旋路店),上海市长宁区凯旋路851号(麦当劳对面),31.215241,121.423257
102,瑞幸咖啡(玫瑰坊店),上海市长宁区长宁路890号玫瑰坊F1,31.225247,121.425276
103,1617,上海市长宁区长宁路890号玫瑰坊M,31.225589,121.424968
104,parkCoffee(长宁路店),上海市长宁区长宁路1018号龙之梦购物中心万丽酒店25楼咖啡厅(近凯旋路),31.224905,121.423639
105,南大门韩糕(中山公园店),上海市长宁区长宁路402号,31.229491,121.43302
106,KOIThé(舜元天地店),长宁区江苏路458号107-3室,31.224643,121.43739
107,米芝莲(龙之梦大厦店),上海市长宁区长宁路1018号龙之梦购物中心B1,31.22474,121.423021
